domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_mean_ms,persistence,5,flow_proxy,Q3-high,19,14269.807336337626,16319.035120494513,12.55728521340135
cicv5g,latency_mean_ms,persistence,5,flow_proxy,Q4-severe,18,10360.746784320228,13743.569611005683,24.613858862213423
cicv5g,latency_mean_ms,persistence,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.234218909753405,14.800947173149648
cicv5g,latency_mean_ms,persistence,5,speed_mean_kmh,Q2-moderate,18,4.516134296801653,5.7980437779616345,22.109344600356167
cicv5g,latency_mean_ms,persistence,5,speed_mean_kmh,Q3-high,19,3.945838957631851,4.456910527590411,11.46694701740337
cicv5g,latency_mean_ms,persistence,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,3.62668619618692,18.742532272079146
cicv5g,latency_mean_ms,persistence,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.1622088506597705,11.032168240464895
cicv5g,latency_mean_ms,persistence,5,vehicle_count,Q2-moderate,18,1.1086861379099613,1.1384335589176038,2.613013338663727
cicv5g,latency_mean_ms,persistence,5,vehicle_count,Q3-high,19,0.9683210952277246,1.034512546432803,6.398322649008659
cicv5g,latency_mean_ms,persistence,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.8888889074933206,14.792632887188716
cicv5g,latency_mean_ms,persistence,10,flow_proxy,Q1-mild,19,16438.278830532374,21069.35965136427,21.98016882079199
cicv5g,latency_mean_ms,persistence,10,flow_proxy,Q2-moderate,18,17240.44898135148,22134.81186420274,22.111608234467976
cicv5g,latency_mean_ms,persistence,10,flow_proxy,Q3-high,19,16218.66137048197,22031.504736241117,26.384232195427703
cicv5g,latency_mean_ms,persistence,10,flow_proxy,Q4-severe,18,13461.36420348317,17623.902952400593,23.618711247772
cicv5g,latency_mean_ms,persistence,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,5.099902469545169,15.595489995728034
cicv5g,latency_mean_ms,persistence,10,speed_mean_kmh,Q2-moderate,18,4.442616634020693,5.643805265101229,21.283311038029947
cicv5g,latency_mean_ms,persistence,10,speed_mean_kmh,Q3-high,19,4.435928875533188,6.062624904686939,26.831546599774274
cicv5g,latency_mean_ms,persistence,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,4.323304013236689,18.159529540767558
cicv5g,latency_mean_ms,persistence,10,vehicle_count,Q1-mild,19,1.371064820582939,1.6773080906397428,18.258021286607956
cicv5g,latency_mean_ms,persistence,10,vehicle_count,Q2-moderate,18,1.4934155692691904,1.6393443160432297,8.901653207063417
cicv5g,latency_mean_ms,persistence,10,vehicle_count,Q3-high,19,1.1487859222837054,1.348576407818519,14.814917634255998
cicv5g,latency_mean_ms,persistence,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.305100215233117,17.719964610881515
cicv5g,latency_mean_ms,persistence,30,flow_proxy,Q1-mild,19,14825.536062410003,32530.6631620049,54.42596424000558
cicv5g,latency_mean_ms,persistence,30,flow_proxy,Q2-moderate,18,14222.489790244214,25957.392803250896,45.2083269762458
cicv5g,latency_mean_ms,persistence,30,flow_proxy,Q3-high,19,16203.51105907118,31092.53567603111,47.886170404663794
cicv5g,latency_mean_ms,persistence,30,flow_proxy,Q4-severe,18,13867.483742588922,26701.381009980872,48.06454491095379
cicv5g,latency_mean_ms,persistence,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,7.755692463570392,52.91479509276647
cicv5g,latency_mean_ms,persistence,30,speed_mean_kmh,Q2-moderate,18,4.39159240439266,7.1456520777322465,38.54175433572807
cicv5g,latency_mean_ms,persistence,30,speed_mean_kmh,Q3-high,19,4.806229708204122,7.615046771849738,36.88509268702534
cicv5g,latency_mean_ms,persistence,30,speed_mean_kmh,Q4-severe,18,4.054581132889005,6.485729672979322,37.48458013090565
cicv5g,latency_mean_ms,persistence,30,vehicle_count,Q1-mild,19,1.9167902655808295,2.414150262228427,20.601865690344955
cicv5g,latency_mean_ms,persistence,30,vehicle_count,Q2-moderate,18,1.9599797761612057,2.6457195950493233,25.918839531573628
cicv5g,latency_mean_ms,persistence,30,vehicle_count,Q3-high,19,1.4246623216960135,2.2174288803225233,35.7516113407904
cicv5g,latency_mean_ms,persistence,30,vehicle_count,Q4-severe,18,1.0330398200175293,2.1994536263147015,53.03197971708824
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,Q1-mild,19,13021.156498031565,14975.636196224237,13.051062890297402
