domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q2-moderate,18,194.70449187218318,15826.275553968913,15087.86318894395,16772.69625974438,26189.861879673866,24737.456847662055,27651.584771792892
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q3-high,19,289.82927430382347,15538.474922267702,14779.80979773377,16284.944649617082,25548.673806923896,24259.560432049657,26808.499542161015
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q4-severe,18,408.3732159313111,10151.561598282256,9732.24324635378,10552.008457518921,17180.683371647097,16261.647260335976,18139.457190507226
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.093779208172694,3.8465173758273594,4.391304212643883,7.568962933644846,6.789695110736077,8.347019534123108
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.67537736467283,4.111989027064052,5.332655287196213,8.795106176180887,7.3656348549967685,10.12508779635963
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q3-high,19,289.82927430382347,4.185673658813472,3.8421213646902443,4.5647916571311296,7.48617456654583,6.757832274192371,8.181835600987636
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q4-severe,18,408.3732159313111,2.8797476297647804,2.760071597596485,3.016033766574258,5.056061502581374,4.767075972565746,5.3712864858917095
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q1-mild,19,171.60300600140215,1.173483431740207,1.1269912364298371,1.2154575811335189,1.8648894454814207,1.8087830349599583,1.9170300058279668
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q2-moderate,18,194.70449187218318,1.1410278607869406,1.1036894828743884,1.1811699126833906,1.9948571726068327,1.8816464725753446,2.115463420362944
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q3-high,19,289.82927430382347,1.0379502881495573,0.9697229082033646,1.1031573746151864,1.847953676985791,1.657957190519707,2.033561228497355
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q4-severe,18,408.3732159313111,0.7960622076132041,0.7374234019982452,0.8541681399646511,1.303104270931322,1.2155303128846298,1.4009642223195289
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q1-mild,19,171.60300600140215,19920.84873159578,18873.556832318543,20880.171286877805,31417.55409132465,30199.758366362195,32751.751695630337
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q2-moderate,18,194.70449187218318,17429.60528537685,16702.631997471843,18097.51275209539,30104.07846043382,28770.912203780354,31462.906346348987
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q3-high,19,289.82927430382347,17785.460770057445,16669.91844425997,18935.11324410738,28735.3757168733,27148.27831286535,30639.649176448947
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q4-severe,18,408.3732159313111,13063.863629378817,12005.908055750398,14240.157429381487,21491.844629338724,19551.05998122757,23675.76387081008
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.988956326452173,4.746185535198101,5.2477501177135455,8.359430362191242,7.645691339615772,9.20388489173015
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.437819299510782,3.973437692614438,5.005315088904382,8.280245414781398,7.157529507372288,9.571701268924324
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q3-high,19,289.82927430382347,4.809086789400546,4.190833520429264,5.4680109131952,8.251819321596903,7.146246525135264,9.420065930340181
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q4-severe,18,408.3732159313111,3.3853624265048676,3.1651392483489573,3.6215112231940467,5.765969834459785,5.309265202922585,6.34086898859374
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q1-mild,19,171.60300600140215,1.5369576874260336,1.4958928197336052,1.5777570957058167,2.6246931476530917,2.533484637480884,2.7031203210181327
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q2-moderate,18,194.70449187218318,1.47405437016864,1.4087402445306596,1.5427306336007018,2.4661964643895264,2.400652235962305,2.5388555169161404
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q3-high,19,289.82927430382347,1.2564709982944797,1.1233541599998722,1.3940285259023717,2.158839145065556,1.8631430872276689,2.4707583576818117
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q4-severe,18,408.3732159313111,1.0989875138232246,1.0446439902231037,1.1521576821160247,1.828957708843755,1.7271601512550614,1.9424462740868649
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q1-mild,19,171.60300600140215,14726.77147378934,14054.968498677168,15362.934007866843,24900.328366251484,23595.03573372649,26362.974430481117
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q2-moderate,18,194.70449187218318,15813.62187915136,15158.119436486077,16574.771102974606,26670.88407251996,25366.00442110872,28172.17908368951
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q3-high,19,289.82927430382347,14236.935918500196,13432.662426479934,15047.421852236263,24494.9207484151,22824.25137279833,26244.3287783242
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q4-severe,18,408.3732159313111,15168.026726065536,14417.384339612854,15977.709870846078,25723.69551802202,24346.486069403425,26994.635186962667
cicv5g,latency_mean_ms,impaired_gru,30,speed_mean_kmh,Q1-mild,19,171.60300600140215,4.166428029086745,3.970448491378616,4.388457196685317,6.575395425552219,6.193132977473891,6.983410152921351
